"location","date","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million"
"Argentina","2020-11-05","1205915.0","32520.0","26682.028","719.536"
"Argentina","2020-11-04","1195263.0","32052.0","26446.343","709.181"
"Argentina","2020-11-03","1183118.0","31623.0","26177.623","699.689"
"Argentina","2020-11-02","1173520.0","31140.0","25965.258","689.002"
"Argentina","2020-11-01","1166911.0","31002.0","25819.027","685.949"
"Argentina","2020-10-31","1157166.0","30792.0","25603.41","681.303"
"Argentina","2020-10-30","1143211.0","30442.0","25294.642","673.559"
"Argentina","2020-10-29","1130520.0","30071.0","25013.841","665.35"
"Argentina","2020-10-28","1116596.0","29730.0","24705.76","657.805"
"Argentina","2020-10-27","1102288.0","29301.0","24389.181","648.313"
"Argentina","2020-10-26","1090576.0","28896.0","24130.042","639.352"
"Argentina","2020-10-25","1081323.0","28613.0","23925.311","633.09"
"Argentina","2020-10-24","1069355.0","28338.0","23660.507","627.005"
"Argentina","2020-10-23","1053637.0","27957.0","23312.731","618.575"
"Argentina","2020-10-22","1037312.0","27519.0","22951.525","608.884"
"Argentina","2020-10-21","1018986.0","27100.0","22546.045","599.614"
"Argentina","2020-10-20","1002649.0","26716.0","22184.573","591.117"
"Argentina","2020-10-19","989667.0","26267.0","21897.333","581.183"
"Argentina","2020-10-18","979106.0","26107.0","21663.661","577.642"
"Argentina","2020-10-17","965596.0","25723.0","21364.739","569.146"
"Argentina","2020-10-16","949050.0","25342.0","20998.643","560.716"
"Argentina","2020-10-15","931954.0","24921.0","20620.378","551.401"
"Argentina","2020-10-14","917022.0","24572.0","20289.993","543.679"
"Argentina","2020-10-13","903717.0","24186.0","19995.607","535.138"
"Argentina","2020-10-12","894193.0","23868.0","19784.879","528.102"
"Argentina","2020-10-11","883883.0","23581.0","19556.761","521.752"
"Argentina","2020-10-10","871455.0","23225.0","19281.779","513.875"
"Argentina","2020-10-09","856356.0","22710.0","18947.699","502.481"
"Argentina","2020-10-08","840902.0","22226.0","18605.765","491.772"
"Argentina","2020-10-07","824455.0","21827.0","18241.859","482.943"
"Argentina","2020-10-06","809715.0","21468.0","17915.723","475.0"
"Argentina","2020-10-05","798473.0","21018.0","17666.982","465.043"
"Argentina","2020-10-04","790805.0","20795.0","17497.321","460.109"
"Argentina","2020-10-03","779676.0","20599.0","17251.081","455.773"
"Argentina","2020-10-02","764989.0","20288.0","16926.117","448.891"
"Argentina","2020-10-01","750988.0","16937.0","16616.331","374.747"
"Argentina","2020-09-30","736596.0","16519.0","16297.894","365.499"
"Argentina","2020-09-29","723119.0","16113.0","15999.703","356.516"
"Argentina","2020-09-28","711312.0","15749.0","15738.462","348.462"
"Argentina","2020-09-27","702471.0","15543.0","15542.846","343.904"
"Argentina","2020-09-26","691222.0","15208.0","15293.951","336.492"
